,City,Country,Lat,Lng,Max Temperature,Humidity,Wind speed,Date,Cloudiness
287,gorin,GT,14.5094,-92.1933,30.53,55,1.03,1615220387,40
288,banjar,US,34.257,-85.1647,13.18,33,1.17,1615220108,1
289,laguna,KG,39.8386,69.5306,9,66,2,1615220387,100
290,concarneau,IL,31.61,34.7642,15.82,22,1.83,1615220282,0
291,sentyabrskiy,DE,48.1667,12.8333,6.29,46,1.45,1615220387,1
292,campos novos,AO,-8.4192,20.7447,22.29,84,1.09,1615220387,79
293,fairbanks,HN,15.5167,-86.35,21.77,94,1.03,1615220388,90
294,taywarah,CA,58.5169,-117.136,-18,92,2,1615220388,75
295,goderich,US,60.5544,-151.2583,-16.84,78,1.54,1615220388,1
296,praia,OM,17.0151,54.0924,28,44,0.38,1615220239,0
297,atascadero,MU,-20.5167,57.5167,26,89,2.57,1615220240,40
298,tumannyy,CA,60.7522,-137.5108,-23,84,0.51,1615220266,10
299,costinesti,RU,44.3861,46.5825,3.57,75,3.62,1615220388,100
300,dergachi,KZ,48.6814,71.6433,-16.73,95,0.23,1615220388,2
301,calvinia,US,34.6391,-120.4579,9.06,76,4.49,1615220244,1
302,moctezuma,IN,11.6667,92.75,28,69,2.06,1615220108,20
303,vila franca do campo,JP,26.1247,127.6694,17.53,88,1.03,1615220388,20
304,nishihara,MV,3.7833,72.9667,28.5,73,5.61,1615220235,0
305,salinas,ID,-8.65,115.2167,25,94,2.06,1615220389,40
306,katsuura,CA,51.226,-58.6502,-6.25,93,2.92,1615220175,0
307,hurghada,RU,52.8281,34.4989,-5,68,3,1615220389,40
308,ocos,AO,-9.5402,16.341,22.75,87,1.74,1615220389,2
309,rome,ZA,-34.0527,23.3716,17.74,71,3.61,1615220244,100
310,isfana,PE,-11.0964,-77.6139,25.75,65,4.39,1615220313,99
311,gat,RU,56.1525,96.9161,-5.17,96,2.49,1615220389,100
312,burghausen,RU,58.4497,92.1703,-1.66,96,4.96,1615220390,100
313,lucapa,US,43.6121,-116.3915,3.12,65,1.82,1615220222,40
314,carbajales,US,44.4192,-72.0151,-4.1,42,1.59,1615220390,46
315,bossembele,GL,69.2167,-51.1,-7,73,2.57,1615220269,75
316,high level,DO,18.0384,-71.744,28.28,60,2.66,1615220390,4
317,kenai,MV,6.15,73.2667,28.55,72,4.45,1615220390,57
318,salalah,CA,50.2334,-63.5986,-4,58,6.17,1615220390,1
319,souillac,NC,-20.2333,164.0167,25.75,78,7.35,1615220277,0
320,haines junction,PG,-6.2167,149.55,24.06,90,1.02,1615220258,100
321,kochubey,TD,13.4586,14.7147,29.43,40,1.35,1615220390,0
322,atasu,CL,-37.6167,-73.65,17.73,59,9.04,1615220269,12
323,lompoc,MU,-20.4081,57.7,26,89,2.57,1615220268,40
324,port blair,PF,-17.5065,-149.489,27.89,69,8.75,1615220391,75
325,itoman,BR,2.8197,-60.6733,33,43,7.2,1615220391,75
326,mahibadhoo,RU,69.4058,86.1778,-25.53,89,1.45,1615220391,89
327,denpasar,CA,70.4692,-68.5914,-20,65,2.06,1615220243,90
328,saint-augustin,RU,58.0728,93.0344,-2.7,96,3.91,1615220391,100
329,navlya,US,39.3643,-74.4229,3.37,33,5.66,1615220165,1
330,malanje,AR,-34.5703,-59.105,31.42,45,1.34,1615220391,68
331,plettenberg bay,TR,38.065,30.1656,9,27,5.14,1615220391,40
332,hualmay,IQ,33.6416,42.8251,19.24,34,3.83,1615220230,0
333,palabuhanratu,GF,5.3833,-52.95,27.47,77,6.96,1615220247,67
334,tinskoy,MX,20.8667,-90.4,24.11,61,5.05,1615220302,48
335,yeniseysk,RU,65.9939,57.5281,-33.68,84,4.39,1615220392,86
